tourney_id,tourney_name,tourney_date,round,surface,winner_name,loser_name,winner_name_norm,loser_name_norm,winner_elo_pre,loser_elo_pre,winner_elo_post,loser_elo_post,k_used,exp_winner,exp_loser
2000-580,Australian Open,2000-01-17,R128,Hard,Andre Agassi,Mariano Puerta,andre agassi,mariano puerta,1500.0,1500.0,1516.0,1484.0,32.0,0.5,0.5
2000-580,Australian Open,2000-01-17,R128,Hard,Sjeng Schalken,Galo Blanco,sjeng schalken,galo blanco,1500.0,1500.0,1516.0,1484.0,32.0,0.5,0.5
2000-580,Australian Open,2000-01-17,R128,Hard,Mariano Zabaleta,Felix Mantilla,mariano zabaleta,felix mantilla,1500.0,1500.0,1516.0,1484.0,32.0,0.5,0.5
2000-580,Australian Open,2000-01-17,R128,Hard,Todd Woodbridge,Jan Siemerink,todd woodbridge,jan siemerink,1500.0,1500.0,1516.0,1484.0,32.0,0.5,0.5
2000-580,Australian Open,2000-01-17,R128,Hard,Andrew Ilie,Jeff Tarango,andrew ilie,jeff tarango,1500.0,1500.0,1516.0,1484.0,32.0,0.5,0.5
2000-580,Australian Open,2000-01-17,R128,Hard,Jiri Novak,Markus Hipfl,jiri novak,markus hipfl,1500.0,1500.0,1516.0,1484.0,32.0,0.5,0.5
2000-580,Australian Open,2000-01-17,R128,Hard,Raemon Sluiter,Andrea Gaudenzi,raemon sluiter,andrea gaudenzi,1500.0,1500.0,1516.0,1484.0,32.0,0.5,0.5
2000-580,Australian Open,2000-01-17,R128,Hard,Mark Philippoussis,Noam Okun,mark philippoussis,noam okun,1500.0,1500.0,1516.0,1484.0,32.0,0.5,0.5
2000-580,Australian Open,2000-01-17,R128,Hard,Richard Krajicek,Fabrice Santoro,richard krajicek,fabrice santoro,1500.0,1500.0,1516.0,1484.0,32.0,0.5,0.5
2000-580,Australian Open,2000-01-17,R128,Hard,Nicolas Escude,Jim Courier,nicolas escude,jim courier,1500.0,1500.0,1516.0,1484.0,32.0,0.5,0.5
2000-580,Australian Open,2000-01-17,R128,Hard,Leander Paes,Dejan Petrovic,leander paes,dejan petrovic,1500.0,1500.0,1516.0,1484.0,32.0,0.5,0.5
2000-580,Australian Open,2000-01-17,R128,Hard,Andreas Vinciguerra,Hernan Gumy,andreas vinciguerra,hernan gumy,1500.0,1500.0,1516.0,1484.0,32.0,0.5,0.5
2000-580,Australian Open,2000-01-17,R128,Hard,Fredrik Jonsson,Jacobo Diaz,fredrik jonsson,jacobo diaz,1500.0,1500.0,1516.0,1484.0,32.0,0.5,0.5
2000-580,Australian Open,2000-01-17,R128,Hard,Hicham Arazi,Julian Alonso,hicham arazi,julian alonso,1500.0,1500.0,1516.0,1484.0,32.0,0.5,0.5
2000-580,Australian Open,2000-01-17,R128,Hard,Fernando Vicente,Alberto Berasategui,fernando vicente,alberto berasategui,1500.0,1500.0,1516.0,1484.0,32.0,0.5,0.5
2000-580,Australian Open,2000-01-17,R128,Hard,Todd Martin,Byron Black,todd martin,byron black,1500.0,1500.0,1516.0,1484.0,32.0,0.5,0.5
