name,name_norm,ioc,hand,height_cm,first_seen_date,last_seen_date
Andre Agassi,andre agassi,USA,R,180.0,2000-01-17,2006-08-28
Sjeng Schalken,sjeng schalken,NED,R,193.0,2000-01-17,2005-01-17
Mariano Zabaleta,mariano zabaleta,ARG,R,183.0,2000-01-17,2008-01-14
Todd Woodbridge,todd woodbridge,AUS,R,178.0,2000-01-17,2001-06-25
Andrew Ilie,andrew ilie,AUS,R,180.0,2000-01-17,2003-01-13
Jiri Novak,jiri novak,CZE,R,190.0,2000-01-17,2006-08-28
Raemon Sluiter,raemon sluiter,NED,R,185.0,2000-01-17,2006-08-28
Mark Philippoussis,mark philippoussis,AUS,R,196.0,2000-01-17,2006-08-28
Richard Krajicek,richard krajicek,NED,R,196.0,2000-01-17,2003-01-13
Nicolas Escude,nicolas escude,FRA,R,185.0,2000-01-17,2004-05-24
Leander Paes,leander paes,IND,R,178.0,2000-01-17,2001-06-25
Andreas Vinciguerra,andreas vinciguerra,SWE,L,180.0,2000-01-17,2003-08-25
Fredrik Jonsson,fredrik jonsson,SWE,R,193.0,2000-01-17,2001-06-25
Hicham Arazi,hicham arazi,MAR,L,175.0,2000-01-17,2004-08-30
Fernando Vicente,fernando vicente,ESP,R,180.0,2000-01-17,2007-06-25
Todd Martin,todd martin,USA,R,198.0,2000-01-17,2004-08-30
Pete Sampras,pete sampras,USA,R,185.0,2000-01-17,2002-08-26
Mikael Tillstrom,mikael tillstrom,SWE,R,185.0,2000-01-17,2000-08-28
Marc Rosset,marc rosset,SUI,R,201.0,2000-01-17,2003-06-23
Wayne Black,wayne black,ZIM,R,170.0,2000-01-17,2001-06-25
Franco Squillari,franco squillari,ARG,L,183.0,2000-01-17,2003-08-25
Mark Woodforde,mark woodforde,AUS,L,188.0,2000-01-17,2000-06-26
Slava Dosedel,slava dosedel,CZE,R,183.0,2000-01-17,2001-08-27
Paradorn Srichaphan,paradorn srichaphan,THA,R,185.0,2000-01-17,2007-01-15
Tim Henman,tim henman,GBR,R,185.0,2000-01-17,2007-08-27
Rainer Schuettler,rainer schuettler,GER,R,180.0,2000-01-17,2011-06-20
Michael Hill,michael hill,AUS,R,188.0,2000-01-17,2000-01-17
Sebastien Grosjean,sebastien grosjean,FRA,R,175.0,2000-01-17,2010-01-18
James Sekulov,james sekulov,AUS,R,180.0,2000-01-17,2000-01-17
Chris Woodruff,chris woodruff,USA,R,188.0,2000-01-17,2001-08-27
Axel Pretzsch,axel pretzsch,GER,R,185.0,2000-01-17,2002-01-14
Richard Fromberg,richard fromberg,AUS,R,196.0,2000-01-17,2002-01-14
Albert Portas,albert portas,ESP,R,188.0,2000-01-17,2006-06-26
Adrian Voinea,adrian voinea,ROU,R,185.0,2000-01-17,2003-06-23
Lleyton Hewitt,lleyton hewitt,AUS,R,180.0,2000-01-17,2016-01-18
Alex Corretja,alex corretja,ESP,R,180.0,2000-01-17,2004-08-30
Jonas Bjorkman,jonas bjorkman,SWE,R,183.0,2000-01-17,2008-06-23
Jiri Vanek,jiri vanek,CZE,R,185.0,2000-01-17,2009-05-25
Gianluca Pozzi,gianluca pozzi,ITA,L,180.0,2000-01-17,2001-08-27
Magnus Norman,magnus norman,SWE,R,188.0,2000-01-17,2003-08-25
Goran Ivanisevic,goran ivanisevic,CRO,L,193.0,2000-01-17,2004-06-21
Francisco Clavet,francisco clavet,ESP,L,183.0,2000-01-17,2003-01-13
Wayne Ferreira,wayne ferreira,RSA,R,185.0,2000-01-17,2004-08-30
Thomas Johansson,thomas johansson,SWE,R,180.0,2000-01-17,2008-08-25
Michael Llodra,michael llodra,FRA,L,190.0,2000-01-17,2014-08-25
Karim Alami,karim alami,MAR,R,185.0,2000-01-17,2001-08-27
Tomas Behrend,tomas behrend,GER,R,193.0,2000-01-17,2006-01-16
Nicolas Kiefer,nicolas kiefer,GER,R,183.0,2000-01-17,2010-06-21
Nicolas Lapentti,nicolas lapentti,ECU,R,188.0,2000-01-17,2010-05-24
Arnaud Clement,arnaud clement,FRA,R,173.0,2000-01-17,2012-05-27
Jan Kroslak,jan kroslak,SVK,R,188.0,2000-01-17,2000-01-17
Roger Federer,roger federer,SUI,R,185.0,2000-01-17,2021-06-28
