player_id,name,name_norm,ioc,hand,height_cm,first_seen_date,last_seen_date
11102392,Andre Agassi,andre agassi,USA,R,180.0,2000-01-17,2006-08-28
44008742,Sjeng Schalken,sjeng schalken,NED,R,193.0,2000-01-17,2005-01-17
77505174,Mariano Zabaleta,mariano zabaleta,ARG,R,183.0,2000-01-17,2008-01-14
51113511,Todd Woodbridge,todd woodbridge,AUS,R,178.0,2000-01-17,2001-06-25
90838898,Andrew Ilie,andrew ilie,AUS,R,180.0,2000-01-17,2003-01-13
30999997,Jiri Novak,jiri novak,CZE,R,190.0,2000-01-17,2006-08-28
66750014,Raemon Sluiter,raemon sluiter,NED,R,185.0,2000-01-17,2006-08-28
94711021,Mark Philippoussis,mark philippoussis,AUS,R,196.0,2000-01-17,2006-08-28
36968764,Richard Krajicek,richard krajicek,NED,R,196.0,2000-01-17,2003-01-13
69597542,Nicolas Escude,nicolas escude,FRA,R,185.0,2000-01-17,2004-05-24
42118974,Leander Paes,leander paes,IND,R,178.0,2000-01-17,2001-06-25
64976992,Andreas Vinciguerra,andreas vinciguerra,SWE,L,180.0,2000-01-17,2003-08-25
92116393,Fredrik Jonsson,fredrik jonsson,SWE,R,193.0,2000-01-17,2001-06-25
816572,Hicham Arazi,hicham arazi,MAR,L,175.0,2000-01-17,2004-08-30
6753030,Fernando Vicente,fernando vicente,ESP,R,180.0,2000-01-17,2007-06-25
32289235,Todd Martin,todd martin,USA,R,198.0,2000-01-17,2004-08-30
39156396,Pete Sampras,pete sampras,USA,R,185.0,2000-01-17,2002-08-26
71243762,Mikael Tillstrom,mikael tillstrom,SWE,R,185.0,2000-01-17,2000-08-28
87906222,Marc Rosset,marc rosset,SUI,R,201.0,2000-01-17,2003-06-23
59777894,Wayne Black,wayne black,ZIM,R,170.0,2000-01-17,2001-06-25
10242596,Franco Squillari,franco squillari,ARG,L,183.0,2000-01-17,2003-08-25
6492519,Mark Woodforde,mark woodforde,AUS,L,188.0,2000-01-17,2000-06-26
3524858,Slava Dosedel,slava dosedel,CZE,R,183.0,2000-01-17,2001-08-27
32449599,Paradorn Srichaphan,paradorn srichaphan,THA,R,185.0,2000-01-17,2007-01-15
1384846,Tim Henman,tim henman,GBR,R,185.0,2000-01-17,2007-08-27
62023540,Rainer Schuettler,rainer schuettler,GER,R,180.0,2000-01-17,2011-06-20
74966159,Michael Hill,michael hill,AUS,R,188.0,2000-01-17,2000-01-17
9261669,Sebastien Grosjean,sebastien grosjean,FRA,R,175.0,2000-01-17,2010-01-18
63906444,James Sekulov,james sekulov,AUS,R,180.0,2000-01-17,2000-01-17
29147441,Chris Woodruff,chris woodruff,USA,R,188.0,2000-01-17,2001-08-27
19949874,Axel Pretzsch,axel pretzsch,GER,R,185.0,2000-01-17,2002-01-14
15281973,Richard Fromberg,richard fromberg,AUS,R,196.0,2000-01-17,2002-01-14
67388472,Albert Portas,albert portas,ESP,R,188.0,2000-01-17,2006-06-26
99777811,Adrian Voinea,adrian voinea,ROU,R,185.0,2000-01-17,2003-06-23
57874866,Lleyton Hewitt,lleyton hewitt,AUS,R,180.0,2000-01-17,2016-01-18
84272179,Alex Corretja,alex corretja,ESP,R,180.0,2000-01-17,2004-08-30
56865819,Jonas Bjorkman,jonas bjorkman,SWE,R,183.0,2000-01-17,2008-06-23
12574334,Jiri Vanek,jiri vanek,CZE,R,185.0,2000-01-17,2009-05-25
42920977,Gianluca Pozzi,gianluca pozzi,ITA,L,180.0,2000-01-17,2001-08-27
70734302,Magnus Norman,magnus norman,SWE,R,188.0,2000-01-17,2003-08-25
25580944,Goran Ivanisevic,goran ivanisevic,CRO,L,193.0,2000-01-17,2004-06-21
71402194,Francisco Clavet,francisco clavet,ESP,L,183.0,2000-01-17,2003-01-13
86894981,Wayne Ferreira,wayne ferreira,RSA,R,185.0,2000-01-17,2004-08-30
51837055,Thomas Johansson,thomas johansson,SWE,R,180.0,2000-01-17,2008-08-25
58261720,Michael Llodra,michael llodra,FRA,L,190.0,2000-01-17,2014-08-25
9233860,Karim Alami,karim alami,MAR,R,185.0,2000-01-17,2001-08-27
33333651,Tomas Behrend,tomas behrend,GER,R,193.0,2000-01-17,2006-01-16
72369183,Nicolas Kiefer,nicolas kiefer,GER,R,183.0,2000-01-17,2010-06-21
3847585,Nicolas Lapentti,nicolas lapentti,ECU,R,188.0,2000-01-17,2010-05-24
4261640,Arnaud Clement,arnaud clement,FRA,R,173.0,2000-01-17,2012-05-27
97818851,Jan Kroslak,jan kroslak,SVK,R,188.0,2000-01-17,2000-01-17
49178154,Roger Federer,roger federer,SUI,R,185.0,2000-01-17,2021-06-28
87437430,Juan Carlos Ferrero,juan carlos ferrero,ESP,R,183.0,2000-01-17,2012-06-25
83740900,Laurence Tieleman,laurence tieleman,ITA,R,180.0,2000-01-17,2000-06-26
3967655,Younes El Aynaoui,younes el aynaoui,MAR,R,193.0,2000-01-17,2005-08-29
