player_id,name,name_norm,ioc,first_seen_date,last_seen_date
98026997,Adrian Voinea,adrian voinea,ROU,2000-01-17,2003-06-23
20481490,Albert Costa,albert costa,ESP,2000-01-17,2005-08-29
2680524,Albert Portas,albert portas,ESP,2000-01-17,2006-06-26
67664601,Alberto Berasategui,alberto berasategui,ESP,2000-01-17,2000-06-26
83316041,Alberto Martin,alberto martin,ESP,2000-01-17,2009-08-31
48770669,Alex Corretja,alex corretja,ESP,2000-01-17,2004-08-30
48249752,Alex Lopez Moron,alex lopez moron,ESP,2000-01-17,2000-01-17
65194975,Alex Obrien,alex obrien,USA,2000-01-17,2001-01-15
17136950,Andre Agassi,andre agassi,USA,2000-01-17,2006-08-28
21544944,Andrea Gaudenzi,andrea gaudenzi,ITA,2000-01-17,2003-01-13
59483736,Andreas Vinciguerra,andreas vinciguerra,SWE,2000-01-17,2003-08-25
54487331,Andrei Medvedev,andrei medvedev,UKR,2000-01-17,2001-06-25
91651475,Andrew Ilie,andrew ilie,AUS,2000-01-17,2003-01-13
53195913,Antony Dupuis,antony dupuis,FRA,2000-01-17,2005-06-20
54968648,Arnaud Clement,arnaud clement,FRA,2000-01-17,2012-05-27
19102570,Arvind Parmar,arvind parmar,GBR,2000-01-17,2004-06-21
91862659,Axel Pretzsch,axel pretzsch,GER,2000-01-17,2002-01-14
86815960,Bernd Karbacher,bernd karbacher,GER,2000-01-17,2000-01-17
65144875,Byron Black,byron black,ZIM,2000-01-17,2002-01-14
97674767,Cecil Mamiit,cecil mamiit,PHI,2000-01-17,2004-01-19
27643104,Cedric Pioline,cedric pioline,FRA,2000-01-17,2002-06-24
15079852,Chris Woodruff,chris woodruff,USA,2000-01-17,2001-08-27
94662776,Christophe Rochus,christophe rochus,BEL,2000-01-17,2010-01-18
90506107,Cyril Saulnier,cyril saulnier,FRA,2000-01-17,2006-01-16
41108922,Daniel Vacek,daniel vacek,CZE,2000-01-17,2002-01-14
85272829,Davide Sanguinetti,davide sanguinetti,ITA,2000-01-17,2007-06-25
95360991,Dejan Petrovic,dejan petrovic,SRB,2000-01-17,2001-01-15
10010775,Dominik Hrbaty,dominik hrbaty,SVK,2000-01-17,2009-01-19
67564074,Fabrice Santoro,fabrice santoro,FRA,2000-01-17,2010-01-18
14514333,Felix Mantilla,felix mantilla,ESP,2000-01-17,2005-08-29
74718412,Fernando Meligeni,fernando meligeni,BRA,2000-01-17,2003-01-13
33491560,Fernando Vicente,fernando vicente,ESP,2000-01-17,2007-06-25
71979332,Francisco Clavet,francisco clavet,ESP,2000-01-17,2003-01-13
68344238,Franco Squillari,franco squillari,ARG,2000-01-17,2003-08-25
86115486,Fredrik Jonsson,fredrik jonsson,SWE,2000-01-17,2001-06-25
22003488,Galo Blanco,galo blanco,ESP,2000-01-17,2004-06-21
76485336,Gaston Gaudio,gaston gaudio,ARG,2000-01-17,2009-05-25
68445073,George Bastl,george bastl,SUI,2000-01-17,2006-08-28
87536495,Gianluca Pozzi,gianluca pozzi,ITA,2000-01-17,2001-08-27
29156826,Goran Ivanisevic,goran ivanisevic,CRO,2000-01-17,2004-06-21
16738647,Gouichi Motomura,gouichi motomura,JPN,2000-01-17,2003-01-13
65087101,Grant Stafford,grant stafford,RSA,2000-01-17,2000-01-17
24792278,Guillermo Canas,guillermo canas,ARG,2000-01-17,2009-06-22
33420453,Gustavo Kuerten,gustavo kuerten,BRA,2000-01-17,2008-05-25
72268409,Hernan Gumy,hernan gumy,ARG,2000-01-17,2000-08-28
2070089,Hicham Arazi,hicham arazi,MAR,2000-01-17,2004-08-30
60508851,Ivan Ljubicic,ivan ljubicic,CRO,2000-01-17,2012-01-16
96731345,Jacobo Diaz,jacobo diaz,ESP,2000-01-17,2003-01-13
48172339,James Sekulov,james sekulov,AUS,2000-01-17,2000-01-17
69549753,Jamie Delgado,jamie delgado,GBR,2000-01-17,2006-06-26
81647881,Jan Kroslak,jan kroslak,SVK,2000-01-17,2000-01-17
91502929,Jan Michael Gambill,jan michael gambill,USA,2000-01-17,2005-08-29
42327995,Jan Siemerink,jan siemerink,NED,2000-01-17,2001-08-27
78170813,Jason Stoltenberg,jason stoltenberg,AUS,2000-01-17,2001-06-25
42772009,Jeff Tarango,jeff tarango,USA,2000-01-17,2001-01-15
9659505,Jens Knippschild,jens knippschild,GER,2000-01-17,2002-05-27
48827713,Jerome Golmard,jerome golmard,FRA,2000-01-17,2004-08-30
65345637,Jim Courier,jim courier,USA,2000-01-17,2000-01-17
32860737,Jiri Novak,jiri novak,CZE,2000-01-17,2006-08-28
74469197,Jiri Vanek,jiri vanek,CZE,2000-01-17,2009-05-25
10514968,John Van Lottum,john van lottum,NED,2000-01-17,2004-06-21
78613276,Jonas Bjorkman,jonas bjorkman,SWE,2000-01-17,2008-06-23
29265412,Joseph Sirianni,joseph sirianni,AUS,2000-01-17,2008-01-14
16453018,Juan Antonio Marin,juan antonio marin,CRC,2000-01-17,2006-05-29
21077683,Juan Carlos Ferrero,juan carlos ferrero,ESP,2000-01-17,2012-06-25
62460378,Julian Alonso,julian alonso,ESP,2000-01-17,2000-01-17
44184634,Julien Boutter,julien boutter,FRA,2000-01-17,2004-06-21
49269647,Karim Alami,karim alami,MAR,2000-01-17,2001-08-27
15540789,Karol Kucera,karol kucera,SVK,2000-01-17,2005-08-29
31628674,Kevin Ullyett,kevin ullyett,ZIM,2000-01-17,2000-01-17
15801505,Laurence Tieleman,laurence tieleman,ITA,2000-01-17,2000-06-26
72775784,Leander Paes,leander paes,IND,2000-01-17,2001-06-25
53162960,Lleyton Hewitt,lleyton hewitt,AUS,2000-01-17,2016-01-18
75117239,Lorenzo Manta,lorenzo manta,SUI,2000-01-17,2000-01-17
92541299,Magnus Norman,magnus norman,SWE,2000-01-17,2003-08-25
32906707,Marat Safin,marat safin,RUS,2000-01-17,2009-08-31
61429607,Marc Rosset,marc rosset,SUI,2000-01-17,2003-06-23
75967012,Mariano Puerta,mariano puerta,ARG,2000-01-17,2005-08-29
51436541,Mariano Zabaleta,mariano zabaleta,ARG,2000-01-17,2008-01-14
89146262,Mark Philippoussis,mark philippoussis,AUS,2000-01-17,2006-08-28
41571125,Mark Woodforde,mark woodforde,AUS,2000-01-17,2000-06-26
10565806,Markus Hipfl,markus hipfl,AUT,2000-01-17,2002-06-24
16014662,Martin Damm Sr,martin damm sr,CZE,2000-01-17,2002-01-14
68527135,Martin Rodriguez,martin rodriguez,ARG,2000-01-17,2000-05-29
54365619,Max Mirnyi,max mirnyi,BLR,2000-01-17,2007-08-27
1316263,Michael Chang,michael chang,USA,2000-01-17,2003-08-25
17145471,Michael Hill,michael hill,AUS,2000-01-17,2000-01-17
62218960,Michael Llodra,michael llodra,FRA,2000-01-17,2014-08-25
25055606,Michal Tabara,michal tabara,CZE,2000-01-17,2005-06-20
25791149,Mikael Tillstrom,mikael tillstrom,SWE,2000-01-17,2000-08-28
76632297,Nicklas Kulti,nicklas kulti,SWE,2000-01-17,2000-01-17
54588163,Nicolas Escude,nicolas escude,FRA,2000-01-17,2004-05-24
31470746,Nicolas Kiefer,nicolas kiefer,GER,2000-01-17,2010-06-21
17733607,Nicolas Lapentti,nicolas lapentti,ECU,2000-01-17,2010-05-24
75810067,Noam Okun,noam okun,ISR,2000-01-17,2006-08-28
3644249,Orlin Stanoytchev,orlin stanoytchev,BUL,2000-01-17,2000-08-28
45351021,Paradorn Srichaphan,paradorn srichaphan,THA,2000-01-17,2007-01-15
65060703,Paul Goldstein,paul goldstein,USA,2000-01-17,2007-08-27
87721625,Pete Sampras,pete sampras,USA,2000-01-17,2002-08-26
49514387,Peter Wessels,peter wessels,NED,2000-01-17,2005-08-29
91406790,Raemon Sluiter,raemon sluiter,NED,2000-01-17,2006-08-28
77691828,Rainer Schuettler,rainer schuettler,GER,2000-01-17,2011-06-20
44151259,Richard Fromberg,richard fromberg,AUS,2000-01-17,2002-01-14
85574457,Richard Krajicek,richard krajicek,NED,2000-01-17,2003-01-13
8248366,Rodolphe Cadart,rodolphe cadart,FRA,2000-01-17,2000-01-17
12893523,Roger Federer,roger federer,SUI,2000-01-17,2021-06-28
28757759,Ronald Agenor,ronald agenor,USA,2000-01-17,2000-06-26
74030799,Sargis Sargsian,sargis sargsian,ARM,2000-01-17,2005-06-20
87118190,Scott Draper,scott draper,AUS,2000-01-17,2005-06-20
2184697,Sebastien Grosjean,sebastien grosjean,FRA,2000-01-17,2010-01-18
72671630,Sebastien Lareau,sebastien lareau,CAN,2000-01-17,2000-08-28
68910611,Sjeng Schalken,sjeng schalken,NED,2000-01-17,2005-01-17
57587140,Slava Dosedel,slava dosedel,CZE,2000-01-17,2001-08-27
69580218,Stefan Koubek,stefan koubek,AUT,2000-01-17,2010-06-21
54817297,Thomas Enqvist,thomas enqvist,SWE,2000-01-17,2005-06-20
61904868,Thomas Johansson,thomas johansson,SWE,2000-01-17,2008-08-25
85692276,Tim Henman,tim henman,GBR,2000-01-17,2007-08-27
70965625,Todd Martin,todd martin,USA,2000-01-17,2004-08-30
92216427,Todd Woodbridge,todd woodbridge,AUS,2000-01-17,2001-06-25
87693766,Tomas Behrend,tomas behrend,GER,2000-01-17,2006-01-16
86526576,Tomas Zib,tomas zib,CZE,2000-01-17,2008-08-25
91918332,Tommy Haas,tommy haas,GER,2000-01-17,2017-03-07
12876585,Vincent Spadea,vincent spadea,USA,2000-01-17,2009-06-22
30306197,Wayne Arthurs,wayne arthurs,AUS,2000-01-17,2007-06-25
33733538,Wayne Black,wayne black,ZIM,2000-01-17,2001-06-25
66853937,Wayne Ferreira,wayne ferreira,RSA,2000-01-17,2004-08-30
27321291,Yevgeny Kafelnikov,yevgeny kafelnikov,RUS,2000-01-17,2003-08-25
24738045,Younes El Aynaoui,younes el aynaoui,MAR,2000-01-17,2005-08-29
70061348,Agustin Calleri,agustin calleri,ARG,2000-05-29,2009-06-22
4136847,Alexander Popp,alexander popp,GER,2000-05-29,2005-08-29
36478114,Andre Sa,andre sa,BRA,2000-05-29,2004-06-21
7153049,Andrei Pavel,andrei pavel,ROU,2000-05-29,2009-08-31
71135006,Arnaud Di Pasquale,arnaud di pasquale,FRA,2000-05-29,2004-08-30
89301598,Attila Savolt,attila savolt,HUN,2000-05-29,2003-05-26
77206214,Bjorn Phau,bjorn phau,GER,2000-05-29,2013-01-14
62014384,Bohdan Ulihrach,bohdan ulihrach,CZE,2000-05-29,2007-06-25
31847188,Carlos Moya,carlos moya,ESP,2000-05-29,2010-01-18
61952146,Christian Ruud,christian ruud,NOR,2000-05-29,2001-05-28
68824457,Christian Vinck,christian vinck,GER,2000-05-29,2001-01-15
45849660,David Prinosil,david prinosil,GER,2000-05-29,2003-01-13
