tourney_id,tourney_name,surface,tourney_date,draw_size,tourney_level,match_num,best_of,round,minutes,score,winner_id,winner_name,winner_name_norm,winner_hand,winner_ioc,winner_age,winner_rank,winner_seed,winner_ht,loser_id,loser_name,loser_name_norm,loser_hand,loser_ioc,loser_age,loser_rank,loser_seed,loser_ht,__source_year,match_key,winner_player_id,loser_player_id
2000-580,Australian Open,Hard,2000-01-17,128,G,1,5,R128,87.0,6-2 6-2 6-3,11102392,Andre Agassi,andre agassi,R,USA,29.7,1.0,1.0,180.0,66161345,Mariano Puerta,mariano puerta,L,ARG,21.3,112.0,,180.0,2000,2000-580_R128_Andre Agassi_vs_Mariano Puerta,17136950,75967012
2000-580,Australian Open,Hard,2000-01-17,128,G,2,5,R128,136.0,7-6(8) 6-4 7-6(2),44008742,Sjeng Schalken,sjeng schalken,R,NED,23.3,47.0,,193.0,95959630,Galo Blanco,galo blanco,R,ESP,23.2,77.0,,173.0,2000,2000-580_R128_Sjeng Schalken_vs_Galo Blanco,68910611,22003488
2000-580,Australian Open,Hard,2000-01-17,128,G,3,5,R128,174.0,6-1 5-7 6-3 7-6(5),77505174,Mariano Zabaleta,mariano zabaleta,R,ARG,21.8,33.0,,183.0,30443828,Felix Mantilla,felix mantilla,R,ESP,25.3,27.0,,180.0,2000,2000-580_R128_Mariano Zabaleta_vs_Felix Mantilla,51436541,14514333
2000-580,Australian Open,Hard,2000-01-17,128,G,4,5,R128,102.0,6-4 6-1 6-3,51113511,Todd Woodbridge,todd woodbridge,R,AUS,28.7,204.0,,178.0,78670323,Jan Siemerink,jan siemerink,L,NED,29.7,93.0,,183.0,2000,2000-580_R128_Todd Woodbridge_vs_Jan Siemerink,92216427,42327995
2000-580,Australian Open,Hard,2000-01-17,128,G,5,5,R128,147.0,6-3 7-6(4) 4-6 6-3,90838898,Andrew Ilie,andrew ilie,R,AUS,23.7,46.0,,180.0,97777316,Jeff Tarango,jeff tarango,L,USA,31.1,65.0,,180.0,2000,2000-580_R128_Andrew Ilie_vs_Jeff Tarango,91651475,42772009
2000-580,Australian Open,Hard,2000-01-17,128,G,6,5,R128,164.0,6-3 4-6 6-3 5-7 6-2,30999997,Jiri Novak,jiri novak,R,CZE,24.8,37.0,,190.0,54329250,Markus Hipfl,markus hipfl,R,AUT,21.7,75.0,,178.0,2000,2000-580_R128_Jiri Novak_vs_Markus Hipfl,32860737,10565806
2000-580,Australian Open,Hard,2000-01-17,128,G,7,5,R128,218.0,3-6 6-1 3-6 6-3 13-11,66750014,Raemon Sluiter,raemon sluiter,R,NED,21.7,166.0,,185.0,22518685,Andrea Gaudenzi,andrea gaudenzi,R,ITA,26.4,88.0,,183.0,2000,2000-580_R128_Raemon Sluiter_vs_Andrea Gaudenzi,91406790,21544944
2000-580,Australian Open,Hard,2000-01-17,128,G,8,5,R128,163.0,6-4 6-2 2-6 3-6 6-2,94711021,Mark Philippoussis,mark philippoussis,R,AUS,23.1,19.0,16.0,196.0,55147581,Noam Okun,noam okun,R,ISR,21.7,189.0,,185.0,2000,2000-580_R128_Mark Philippoussis_vs_Noam Okun,89146262,75810067
2000-580,Australian Open,Hard,2000-01-17,128,G,9,5,R128,96.0,6-1 6-2 7-5,36968764,Richard Krajicek,richard krajicek,R,NED,28.1,10.0,9.0,196.0,74493481,Fabrice Santoro,fabrice santoro,R,FRA,27.1,25.0,,178.0,2000,2000-580_R128_Richard Krajicek_vs_Fabrice Santoro,85574457,67564074
2000-580,Australian Open,Hard,2000-01-17,128,G,10,5,R128,154.0,6-7(4) 6-3 7-5 6-1,69597542,Nicolas Escude,nicolas escude,R,FRA,23.7,34.0,,185.0,80872670,Jim Courier,jim courier,R,USA,29.4,36.0,,185.0,2000,2000-580_R128_Nicolas Escude_vs_Jim Courier,54588163,65345637
2000-580,Australian Open,Hard,2000-01-17,128,G,11,5,R128,154.0,6-2 3-6 7-6(5) 6-4,42118974,Leander Paes,leander paes,R,IND,26.5,137.0,,178.0,15489259,Dejan Petrovic,dejan petrovic,R,SRB,21.7,201.0,,,2000,2000-580_R128_Leander Paes_vs_Dejan Petrovic,72775784,95360991
2000-580,Australian Open,Hard,2000-01-17,128,G,12,5,R128,105.0,7-6(2) 6-1 6-1,64976992,Andreas Vinciguerra,andreas vinciguerra,L,SWE,18.9,99.0,,180.0,15697539,Hernan Gumy,hernan gumy,R,ARG,27.8,63.0,,188.0,2000,2000-580_R128_Andreas Vinciguerra_vs_Hernan Gumy,59483736,72268409
2000-580,Australian Open,Hard,2000-01-17,128,G,13,5,R128,189.0,4-6 4-6 6-2 7-5 6-3,92116393,Fredrik Jonsson,fredrik jonsson,R,SWE,22.8,123.0,,193.0,16727277,Jacobo Diaz,jacobo diaz,R,ESP,23.5,84.0,,173.0,2000,2000-580_R128_Fredrik Jonsson_vs_Jacobo Diaz,86115486,96731345
2000-580,Australian Open,Hard,2000-01-17,128,G,14,5,R128,116.0,6-3 7-6(6) 6-2,816572,Hicham Arazi,hicham arazi,L,MAR,26.2,41.0,,175.0,19424185,Julian Alonso,julian alonso,R,ESP,22.4,111.0,,185.0,2000,2000-580_R128_Hicham Arazi_vs_Julian Alonso,2070089,62460378
2000-580,Australian Open,Hard,2000-01-17,128,G,15,5,R128,82.0,6-0 6-2 6-2,6753030,Fernando Vicente,fernando vicente,R,ESP,22.8,55.0,,180.0,27391380,Alberto Berasategui,alberto berasategui,R,ESP,26.5,59.0,,173.0,2000,2000-580_R128_Fernando Vicente_vs_Alberto Berasategui,33491560,67664601
2000-580,Australian Open,Hard,2000-01-17,128,G,16,5,R128,239.0,5-7 6-7(4) 6-4 6-2 8-6,32289235,Todd Martin,todd martin,R,USA,29.5,9.0,8.0,198.0,49993757,Byron Black,byron black,R,ZIM,30.2,71.0,,175.0,2000,2000-580_R128_Todd Martin_vs_Byron Black,70965625,65144875
2000-580,Australian Open,Hard,2000-01-17,128,G,17,5,R128,99.0,6-4 7-5 6-4,39156396,Pete Sampras,pete sampras,R,USA,28.4,3.0,3.0,185.0,10907646,Wayne Arthurs,wayne arthurs,L,AUS,28.8,105.0,,190.0,2000,2000-580_R128_Pete Sampras_vs_Wayne Arthurs,87721625,30306197
2000-580,Australian Open,Hard,2000-01-17,128,G,18,5,R128,120.0,4-6 6-4 6-2 6-1,71243762,Mikael Tillstrom,mikael tillstrom,R,SWE,27.8,79.0,,185.0,26259214,Sebastien Lareau,sebastien lareau,R,CAN,26.7,103.0,,183.0,2000,2000-580_R128_Mikael Tillstrom_vs_Sebastien Lareau,25791149,72671630
2000-580,Australian Open,Hard,2000-01-17,128,G,19,5,R128,142.0,7-6(0) 6-3 7-6(3),87906222,Marc Rosset,marc rosset,R,SUI,29.1,45.0,,201.0,57715761,Jamie Delgado,jamie delgado,R,GBR,22.8,143.0,,178.0,2000,2000-580_R128_Marc Rosset_vs_Jamie Delgado,61429607,69549753
2000-580,Australian Open,Hard,2000-01-17,128,G,20,5,R128,129.0,7-6(3) 6-1 6-4,59777894,Wayne Black,wayne black,R,ZIM,26.1,151.0,,170.0,7174028,Jan Michael Gambill,jan michael gambill,R,USA,22.6,57.0,,190.0,2000,2000-580_R128_Wayne Black_vs_Jan Michael Gambill,33733538,91502929
2000-580,Australian Open,Hard,2000-01-17,128,G,21,5,R128,92.0,6-3 6-2 6-1,10242596,Franco Squillari,franco squillari,L,ARG,24.4,48.0,,183.0,43279243,Joseph Sirianni,joseph sirianni,R,AUS,24.9,356.0,,175.0,2000,2000-580_R128_Franco Squillari_vs_Joseph Sirianni,68344238,29265412
2000-580,Australian Open,Hard,2000-01-17,128,G,22,5,R128,116.0,6-3 6-4 7-6(4),6492519,Mark Woodforde,mark woodforde,L,AUS,34.3,126.0,,188.0,35237355,Davide Sanguinetti,davide sanguinetti,R,ITA,27.3,113.0,,188.0,2000,2000-580_R128_Mark Woodforde_vs_Davide Sanguinetti,41571125,85272829
2000-580,Australian Open,Hard,2000-01-17,128,G,23,5,R128,177.0,7-6(4) 5-7 6-3 7-5,3524858,Slava Dosedel,slava dosedel,R,CZE,29.4,64.0,,183.0,33644704,Julien Boutter,julien boutter,R,FRA,25.7,155.0,,190.0,2000,2000-580_R128_Slava Dosedel_vs_Julien Boutter,57587140,44184634
2000-580,Australian Open,Hard,2000-01-17,128,G,24,5,R128,144.0,6-2 6-4 3-6 6-3,32449599,Paradorn Srichaphan,paradorn srichaphan,R,THA,20.5,102.0,,185.0,46730466,Karol Kucera,karol kucera,R,SVK,25.8,18.0,14.0,188.0,2000,2000-580_R128_Paradorn Srichaphan_vs_Karol Kucera,45351021,15540789
2000-580,Australian Open,Hard,2000-01-17,128,G,25,5,R128,211.0,6-7(3) 6-3 7-6(4) 7-6(7),1384846,Tim Henman,tim henman,R,GBR,25.3,13.0,11.0,185.0,72009905,Jerome Golmard,jerome golmard,L,FRA,26.3,31.0,,188.0,2000,2000-580_R128_Tim Henman_vs_Jerome Golmard,85692276,48827713
2000-580,Australian Open,Hard,2000-01-17,128,G,26,5,R128,112.0,6-3 6-3 6-3,62023540,Rainer Schuettler,rainer schuettler,R,GER,23.7,60.0,,180.0,22307803,Juan Antonio Marin,juan antonio marin,R,CRC,24.8,73.0,,175.0,2000,2000-580_R128_Rainer Schuettler_vs_Juan Antonio Marin,77691828,16453018
2000-580,Australian Open,Hard,2000-01-17,128,G,27,5,R128,92.0,6-4 6-2 6-2,74966159,Michael Hill,michael hill,R,AUS,25.5,238.0,,188.0,21829973,Bernd Karbacher,bernd karbacher,R,GER,31.7,139.0,,185.0,2000,2000-580_R128_Michael Hill_vs_Bernd Karbacher,17145471,86815960
2000-580,Australian Open,Hard,2000-01-17,128,G,28,5,R128,111.0,6-3 6-3 6-2,9261669,Sebastien Grosjean,sebastien grosjean,R,FRA,21.6,26.0,,175.0,31853958,Gouichi Motomura,gouichi motomura,R,JPN,26.0,148.0,,173.0,2000,2000-580_R128_Sebastien Grosjean_vs_Gouichi Motomura,2184697,16738647
2000-580,Australian Open,Hard,2000-01-17,128,G,29,5,R128,221.0,7-6(5) 4-6 4-6 7-5 6-0,63906444,James Sekulov,james sekulov,R,AUS,23.2,133.0,,180.0,71776499,Ivan Ljubicic,ivan ljubicic,R,CRO,20.8,72.0,,193.0,2000,2000-580_R128_James Sekulov_vs_Ivan Ljubicic,48172339,60508851
2000-580,Australian Open,Hard,2000-01-17,128,G,30,5,R128,111.0,6-3 7-6(3) 6-3,29147441,Chris Woodruff,chris woodruff,R,USA,27.0,56.0,,188.0,37367126,Martin Damm Sr,martin damm sr,R,CZE,27.4,,,188.0,2000,2000-580_R128_Chris Woodruff_vs_Martin Damm Sr,15079852,16014662
2000-580,Australian Open,Hard,2000-01-17,128,G,31,5,R128,99.0,7-6(1) 6-2 6-1,19949874,Axel Pretzsch,axel pretzsch,R,GER,23.5,115.0,,185.0,25480852,Alex Obrien,alex obrien,R,USA,29.8,162.0,,185.0,2000,2000-580_R128_Axel Pretzsch_vs_Alex Obrien,91862659,65194975
2000-580,Australian Open,Hard,2000-01-17,128,G,32,5,R128,224.0,6-4 7-6(4) 4-6 3-6 10-8,15281973,Richard Fromberg,richard fromberg,R,AUS,29.7,80.0,,196.0,56230696,Thomas Enqvist,thomas enqvist,R,SWE,25.8,6.0,6.0,190.0,2000,2000-580_R128_Richard Fromberg_vs_Thomas Enqvist,44151259,54817297
2000-580,Australian Open,Hard,2000-01-17,128,G,33,5,R128,179.0,4-6 4-6 6-4 7-6(8) 6-4,67388472,Albert Portas,albert portas,R,ESP,26.1,91.0,,188.0,1972334,Gustavo Kuerten,gustavo kuerten,R,BRA,23.3,5.0,5.0,190.0,2000,2000-580_R128_Albert Portas_vs_Gustavo Kuerten,2680524,33420453
2000-580,Australian Open,Hard,2000-01-17,128,G,34,5,R128,172.0,7-6(1) 4-6 4-6 6-3 6-2,99777811,Adrian Voinea,adrian voinea,R,ROU,25.4,95.0,,185.0,2432553,Vincent Spadea,vincent spadea,R,USA,25.4,21.0,,183.0,2000,2000-580_R128_Adrian Voinea_vs_Vincent Spadea,98026997,12876585
2000-580,Australian Open,Hard,2000-01-17,128,G,35,5,R128,197.0,6-2 6-7(5) 7-6(5) 6-4,57874866,Lleyton Hewitt,lleyton hewitt,R,AUS,18.8,17.0,,180.0,60388510,Paul Goldstein,paul goldstein,R,USA,23.4,87.0,,178.0,2000,2000-580_R128_Lleyton Hewitt_vs_Paul Goldstein,53162960,65060703
2000-580,Australian Open,Hard,2000-01-17,128,G,36,5,R128,146.0,7-6(5) 6-4 6-4,84272179,Alex Corretja,alex corretja,R,ESP,25.7,30.0,,180.0,4978971,Sargis Sargsian,sargis sargsian,R,ARM,26.6,51.0,,180.0,2000,2000-580_R128_Alex Corretja_vs_Sargis Sargsian,48770669,74030799
2000-580,Australian Open,Hard,2000-01-17,128,G,37,5,R128,189.0,6-7(6) 6-4 6-4 0-6 6-4,56865819,Jonas Bjorkman,jonas bjorkman,R,SWE,27.8,76.0,,183.0,2159582,Jason Stoltenberg,jason stoltenberg,R,AUS,29.7,81.0,,185.0,2000,2000-580_R128_Jonas Bjorkman_vs_Jason Stoltenberg,78613276,78170813
2000-580,Australian Open,Hard,2000-01-17,128,G,38,5,R128,141.0,6-4 6-3 2-6 7-6(5),12574334,Jiri Vanek,jiri vanek,R,CZE,21.7,153.0,,185.0,40398059,Peter Wessels,peter wessels,R,NED,21.6,114.0,,196.0,2000,2000-580_R128_Jiri Vanek_vs_Peter Wessels,74469197,49514387
2000-580,Australian Open,Hard,2000-01-17,128,G,39,5,R128,176.0,6-3 7-6(7) 6-7(5) 6-1,42920977,Gianluca Pozzi,gianluca pozzi,L,ITA,34.5,82.0,,180.0,87912353,Tomas Zib,tomas zib,R,CZE,23.9,118.0,,178.0,2000,2000-580_R128_Gianluca Pozzi_vs_Tomas Zib,87536495,86526576
2000-580,Australian Open,Hard,2000-01-17,128,G,40,5,R128,159.0,7-5 6-4 3-6 6-3,70734302,Magnus Norman,magnus norman,R,SWE,23.6,11.0,12.0,188.0,17996753,Cecil Mamiit,cecil mamiit,R,PHI,23.5,97.0,,173.0,2000,2000-580_R128_Magnus Norman_vs_Cecil Mamiit,92541299,97674767
2000-580,Australian Open,Hard,2000-01-17,128,G,41,5,R128,180.0,6-4 2-6 7-5 1-6 9-7,25580944,Goran Ivanisevic,goran ivanisevic,L,CRO,28.3,70.0,,193.0,98371983,Cedric Pioline,cedric pioline,R,FRA,30.5,15.0,13.0,188.0,2000,2000-580_R128_Goran Ivanisevic_vs_Cedric Pioline,29156826,27643104
2000-580,Australian Open,Hard,2000-01-17,128,G,42,5,R128,134.0,3-6 6-1 6-4 7-6(3),71402194,Francisco Clavet,francisco clavet,L,ESP,31.2,39.0,,183.0,87917681,Dominik Hrbaty,dominik hrbaty,R,SVK,22.0,22.0,,183.0,2000,2000-580_R128_Francisco Clavet_vs_Dominik Hrbaty,71979332,10010775
2000-580,Australian Open,Hard,2000-01-17,128,G,43,5,R128,168.0,6-3 6-3 4-6 7-6(2),86894981,Wayne Ferreira,wayne ferreira,R,RSA,28.3,53.0,,185.0,12391329,George Bastl,george bastl,R,SUI,24.7,78.0,,183.0,2000,2000-580_R128_Wayne Ferreira_vs_George Bastl,66853937,68445073
2000-580,Australian Open,Hard,2000-01-17,128,G,44,5,R128,104.0,6-1 6-2 6-4,51837055,Thomas Johansson,thomas johansson,R,SWE,24.8,42.0,,180.0,68311217,Nicklas Kulti,nicklas kulti,R,SWE,28.7,121.0,,190.0,2000,2000-580_R128_Thomas Johansson_vs_Nicklas Kulti,61904868,76632297
2000-580,Australian Open,Hard,2000-01-17,128,G,45,5,R128,82.0,6-3 6-3 6-2,58261720,Michael Llodra,michael llodra,L,FRA,19.6,263.0,,190.0,63396451,Gaston Gaudio,gaston gaudio,R,ARG,21.1,61.0,,175.0,2000,2000-580_R128_Michael Llodra_vs_Gaston Gaudio,62218960,76485336
