player_id,name,name_norm,ioc,first_seen_date,last_seen_date,match_count
36504399,Adam Pavlasek,adam pavlasek,CZE,2016-05-23,2018-05-28,7
3219108,Adam Walton,adam walton,AUS,2024-01-07,2025-07-01,5
90001577,Adrian Garcia,adrian garcia,CHI,2005-06-20,2005-06-20,1
17906708,Adrian Mannarino,adrian mannarino,FRA,2008-05-25,2025-07-04,104
62852,Adrian Menendez Maceiras,adrian menendez maceiras,ESP,2012-06-25,2017-08-28,4
4800079,Adrian Ungur,adrian ungur,ROU,2012-05-27,2016-05-23,8
98026997,Adrian Voinea,adrian voinea,ROU,2000-01-17,2003-06-23,22
70061348,Agustin Calleri,agustin calleri,ARG,2000-05-29,2009-06-22,49
24784402,Aisam Ul Haq Qureshi,aisam ul haq qureshi,PAK,2007-06-25,2008-08-25,3
21014650,Alan Mackin,alan mackin,GBR,2002-06-24,2007-01-15,5
49618514,Alastair Gray,alastair gray,GBR,2022-06-27,2022-06-27,2
21106747,Albano Olivetti,albano olivetti,FRA,2013-08-26,2016-06-27,3
20481490,Albert Costa,albert costa,ESP,2000-01-17,2005-08-29,48
70306668,Albert Montanes,albert montanes,ESP,2001-05-28,2016-06-27,83
2680524,Albert Portas,albert portas,ESP,2000-01-17,2006-06-26,31
42248572,Albert Ramos,albert ramos,ESP,2011-05-22,2025-05-26,75
67664601,Alberto Berasategui,alberto berasategui,ESP,2000-01-17,2000-06-26,3
83316041,Alberto Martin,alberto martin,ESP,2000-01-17,2021-08-02,50
70535143,Alejandro Davidovich Fokina,alejandro davidovich fokina,ESP,2019-05-27,2024-08-26,41
39293454,Alejandro Falla,alejandro falla,COL,2004-05-24,2015-06-29,55
28510968,Alejandro Gonzalez,alejandro gonzalez,COL,2014-01-13,2015-08-31,9
41682873,Alejandro Moro Canas,alejandro moro canas,ESP,2024-01-07,2024-01-07,1
98310035,Alejandro Tabilo,alejandro tabilo,CHI,2020-01-20,2025-05-28,13
12606113,Aleksandar Kovacevic,aleksandar kovacevic,USA,2023-05-29,2025-07-01,6
65164965,Aleksandar Vukic,aleksandar vukic,AUS,2020-09-28,2025-07-03,13
37493615,Aleksandr Nedovyesov,aleksandr nedovyesov,KAZ,2014-01-13,2015-08-31,8
3133152,Alessandro Giannessi,alessandro giannessi,ITA,2016-08-29,2022-05-23,5
45768941,Alessio Di Mauro,alessio di mauro,ITA,2005-06-20,2007-05-28,8
557624,Alex Bogdanovic,alex bogdanovic,GBR,2002-06-24,2009-06-22,9
45373765,Alex Bogomolov Jr,alex bogomolov jr,RUS,2001-08-27,2014-01-13,27
65417071,Alex Bolt,alex bolt,AUS,2017-01-16,2025-07-01,14
82019619,Alex Calatrava,alex calatrava,ESP,2001-01-15,2005-06-20,18
48770669,Alex Corretja,alex corretja,ESP,2000-01-17,2004-08-30,40
28865657,Alex De Minaur,alex de minaur,AUS,2017-01-16,2024-08-26,79
53674481,Alex Kim,alex kim,USA,2000-08-28,2003-08-25,8
48249752,Alex Lopez Moron,alex lopez moron,ESP,2000-01-17,2000-01-17,1
12611033,Alex Michelsen,alex michelsen,USA,2023-08-28,2025-07-01,9
25809887,Alex Molcan,alex molcan,SVK,2021-08-30,2023-08-28,17
65194975,Alex Obrien,alex obrien,USA,2000-01-17,2001-01-15,4
40706048,Alexander Bublik,alexander bublik,KAZ,2017-01-16,2025-07-01,44
2284506,Alexander Kudryavtsev,alexander kudryavtsev,RUS,2012-01-16,2016-06-27,5
40084296,Alexander Peya,alexander peya,AUT,2004-05-24,2009-06-22,11
4136847,Alexander Popp,alexander popp,GER,2000-05-29,2005-08-29,33
1215325,Alexander Ritschard,alexander ritschard,SUI,2022-06-27,2022-08-29,2
93154317,Alexander Shevchenko,alexander shevchenko,KAZ,2023-03-07,2025-07-01,10
65826293,Alexander Ward,alexander ward,GBR,2016-06-27,2017-03-07,2
90600751,Alexander Waske,alexander waske,GER,2002-06-24,2007-08-27,13
46734571,Alexander Zverev,alexander zverev,GER,2015-06-29,2025-07-01,136
54811555,Alexandr Dolgopolov,alexandr dolgopolov,UKR,2010-05-24,2018-01-15,64
98376956,Alexandre Muller,alexandre muller,FRA,2017-05-29,2025-07-01,15
36528388,Alexandre Sidorenko,alexandre sidorenko,FRA,2007-05-28,2009-05-25,2
44318176,Alexandre Simoni,alexandre simoni,BRA,2001-08-27,2002-06-24,4
59624151,Alexei Popyrin,alexei popyrin,AUS,2018-01-15,2025-06-30,43
75510026,Alexey Vatutin,alexey vatutin,RUS,2019-05-27,2019-05-27,1
65237694,Aljaz Bedene,aljaz bedene,SLO,2013-01-14,2022-08-29,53
71394428,Alun Jones,alun jones,AUS,2001-01-15,2008-01-14,6
